# все тесты, связанные с локативными падежами отмечены комментариями	+?

talo+Sg+Nom	talo

talo+Pl+Nom	talot

talo+Sg+Gen	talon

talo+Pl+Gen	talojen

talo+Sg+Part	taloa

talo+Pl+Part	taloja

# тестируем локитвные падежи 	+?

talo+Sg+In	talossa

talo+Pl+In	taloissa

talo+Sg+All	talolle

talo+Pl+All	taloille

talo+Sg+El	talosta

talo+Pl+El	taloista

talo+Sg+Ad	talolla

talo+Pl+Ad	taloilla

talo+Sg+Abl	talolta

talo+Pl+Abl	taloilta

talo+Sg+Ill	taloon

talo+Pl+Ill	taloihin

	+?

elämä+Sg+Nom	elämä

elämä+Pl+Nom	elämät

elämä+Sg+Gen	elämän

elämä+Pl+Gen	elämien

elämä+Sg+Part	elämää

elämä+Pl+Part	elämiä

# тестируем локитвные падежи	+?

elämä+Sg+In	elämässä

elämä+Pl+In	elämissä

elämä+Sg+All	elämälle

elämä+Pl+All	elämille

elämä+Sg+El	elämästä

elämä+Pl+El	elämistä

elämä+Sg+Ad	elämällä

elämä+Pl+Ad	elämillä

elämä+Sg+Abl	elämältä

elämä+Pl+Abl	elämiltä

elämä+Sg+Ill	elämään

elämä+Pl+Ill	elämihin

	+?

kuu+Sg+Nom	kuu

kuu+Pl+Nom	kuut

kuu+Sg+Gen	kuun

kuu+Pl+Gen	kuiden

kuu+Sg+Part	kuuta

kuu+Pl+Part	kuita

# тестируем локитвные падежи	+?

kuu+Sg+In	kuussa

kuu+Pl+In	kuissa

kuu+Sg+All	kuulle

kuu+Pl+All	kuille

kuu+Sg+El	kuusta

kuu+Pl+El	kuista

kuu+Sg+Ad	kuulla

kuu+Pl+Ad	kuilla

kuu+Sg+Abl	kuulta

kuu+Pl+Abl	kuilta

kuu+Sg+Ill	kuuhun

ku+Pl+Ill	kuihin

	+?

työ+Sg+Nom	työ

työ+Pl+Nom	työt

työ+Sg+Gen	työn

työ+Pl+Gen	töiden

työ+Sg+Part	työtä

työ+Pl+Part	töitä

# тестируем локитвные падежи 	+?

työ+Sg+In	työssä

työ+Pl+In	töissä

työ+Sg+All	työlle

työ+Pl+All	töille

työ+Sg+El	työstä

työ+Pl+El	töistä

työ+Sg+Ad	työllä

työ+Pl+Ad	töillä

työ+Sg+Abl	työltä

työ+Pl+Abl	töiltä

työ+Sg+Ill	työhön

tö+Pl+Ill	töihin

	+?

sukka+Sg+Nom	sukka

sukka+Pl+Nom	sukat

sukka+Sg+Gen	sukan

sukka+Pl+Gen	sukkien

sukka+Sg+Part	sukkaa

sukka+Pl+Part	sukkia

# тестируем локитвные падежи 	+?

sukka+Sg+In	sukassa

sukka+Pl+In	sukissa

sukka+Sg+All	sukalle

sukka+Pl+All	sukille

sukka+Sg+El	sukasta

sukka+Pl+El	sukista

sukka+Sg+Ad	sukalla

sukka+Pl+Ad	sukilla

sukka+Sg+Abl	sukalta

sukka+Pl+Abl	sukilta

sukka+Sg+Ill	sukkaan

sukka+Pl+Ill	sukkihin

	+?

poika+Sg+Nom	poika

poika+Pl+Nom	pojat

poika+Sg+Gen	pojan

poika+Pl+Gen	poikien

poika+Sg+Part	poikaa

poika+Pl+Part	poikia

# тестируем локитвные падежи 	+?

poika+Sg+In	pojassa

poika+Pl+In	pojissa

poika+Sg+All	pojalle

poika+Pl+All	pojille

poika+Sg+El	pojasta

poika+Pl+El	pojista

poika+Sg+Ad	pojalla

poika+Pl+Ad	pojilla

poika+Sg+Abl	pojalta

poika+Pl+Abl	pojilta

poika+Sg+Ill	poikaan

poika+Pl+Ill	poikihin

	+?

kaappi+Pl+In	kaapissa

matto+Pl+All	mattoille

kukka+Sg+Gen	kukan

	+?

tupa+Sg+In	tuvassa

katu+Sg+All	kadulle

vihta+Sg+All	vihdalle

poika+Sg+All	pojalle

jalka+Sg+Gen	jalan

	+?

matka+Pl+In	matkoissa

kirja+Pl+Part	kirjoja

piha+Pl+All	pihoille

herra+Pl+Gen	herrojen

	+?

koira+Pl+Gen	koirien

poika+Pl+All	pojille

muna+Pl+Part	munia

kuuma+Pl+In	kuumissa

	+?

kampa+Sg+All	kammalle

kenkä+Pl+Nom	kengät

ilta+Sg+All	illalle

kerta+Sg+Gen	kerran

suku+Sg+In	suvussa

	+?

puu+Pl+Part	puita

tie+Pl+All	teille

	+?

# тестируем только иллатив на рзличение разных правил	+?

lehte+Sg+Ill	lehteen

